"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Land Rover Freelander 2",1995,85207,2011,1,"Diesel","SUV","2.2L","Manual",5,5
"Volkswagen Scirocco",3690,179000,2012,2,"Diesel","Hatchback","2.0L","Manual",3,4
"Peugeot 308 SW",9600,56984,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Hyundai I10",3990,50562,2012,2,"Petrol","Hatchback","1.2L","Manual",5,5
"MINI Hatch Cooper",7280,96000,2016,2,"Diesel","Hatchback","1.5L","Manual",3,4
"Citroen Xsara Picasso",1850,77000,2006,3,"Petrol","MPV","2.0L","Automatic",5,5
"Toyota Auris",4490,125998,2015,NA,"Petrol","Estate","1.3L","Manual",5,5
"Ford S-max",3950,75000,2006,NA,"Petrol","MPV","2.5L","Manual",5,7
"Citroen C4 Cactus",5550,72700,2015,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",2490,106000,2010,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Nissan Qashqai+2",2989,140000,2010,2,"Petrol","SUV","1.6L","Manual",5,7
"Audi A5",9000,154983,2017,1,"Diesel","Hatchback","2.0L","Manual",5,5
"Peugeot 107",2995,63000,2011,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"KIA RIO",7499,51234,2016,2,"Diesel","Hatchback","1.4L","Manual",5,5
"Nissan X-trail",2500,138000,2009,3,"Diesel","SUV","2.0L","Manual",5,5
"Volkswagen T-cross",17670,14385,2021,1,"Petrol","SUV","1.0L","Manual",5,5
"Vauxhall Astra GTC",3295,116000,2014,2,"Diesel","Coupe","2.0L","Manual",3,5
"BMW 3 Series",19800,69690,2019,1,"Petrol Plug-in Hybrid","Saloon","2.0L","Automatic",4,5
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Jaguar XJ",8000,95000,2011,5,"Diesel","Saloon","3.0L","Automatic",NA,5
"SEAT Leon",4700,128386,2015,1,"Diesel","Hatchback","1.6L","Manual",3,5
"KIA Soul",2800,80000,2009,2,"Petrol","SUV","1.6L","Manual",5,5
"Mercedes-Benz C Class",2495,135000,2007,NA,"Diesel","Estate","2.1L","Automatic",5,5
"Ford C-max",7390,46760,2014,NA,"Diesel","MPV","1.6L","Manual",5,5
"Vauxhall Corsa",2995,79011,2007,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"Volkswagen Polo",5950,71000,2013,2,"Petrol","Hatchback","1.4L","Manual",3,5
"Volkswagen Golf",3050,158000,2009,4,"Petrol","Hatchback","1.4L","Automatic",5,5
"Audi A4",4250,182000,2014,2,"Diesel","Saloon","2.0L","Automatic",4,5
"SKODA Superb",7750,87000,2014,NA,"Diesel","Estate","2.0L","Manual",5,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Mazda Mazda2",7499,41200,2016,NA,"Petrol","Hatchback","1.5L","Manual",5,5
"Peugeot 206",999,128000,2004,NA,"Petrol","Hatchback","1.1L","Manual",5,5
"Peugeot 308 SW",9600,56984,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Vauxhall Insignia Sports Tourer",14495,40243,2017,2,"Diesel","Estate","2.0L","Manual",5,5
"Vauxhall Astra",4999,60139,2015,2,"Petrol","Hatchback","1.6L","Manual",5,5
"MINI Hatch",3095,95729,2009,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Ford Focus",2495,90000,2003,2,"Petrol","Hatchback","2.0L","Automatic",5,5
"Volkswagen Golf",4599,70000,2009,2,"Petrol","Hatchback","1.4L","Manual",5,5
"Fiat 500",3745,81000,2012,NA,"Petrol","Hatchback","1.2L","Manual",3,4
"Volkswagen Polo",1895,87100,2005,5,"Petrol","Hatchback","1.2L","Manual",3,5
"Audi Q3",8995,103200,2014,NA,"Diesel","SUV","2.0L","Automatic",5,5
"Mercedes-Benz CLK",2000,139571,2009,NA,"Petrol","Coupe","1.8L","Automatic",2,4
"Nissan Qashqai",3995,99141,2012,2,"Petrol","SUV","1.6L","Manual",5,5
"Volkswagen Beetle",2250,129111,2004,NA,"Petrol","Convertible","2.0L","Manual",2,4
"Ford Focus",2950,105000,2011,NA,"Petrol","Hatchback","1.6L","Manual",5,5
