"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Peugeot 207",1990,81000,2012,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Vauxhall Astra",3199,87000,2012,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Mercedes-Benz C Class",6950,116000,2012,7,"Diesel","Saloon","2.1L","Automatic",4,5
"SEAT Ibiza",8499,54111,2017,2,"Petrol","Hatchback","1.2L","Manual",3,5
"Mercedes-Benz CLA Class",11000,73000,2017,3,"Diesel","Saloon","2.1L","Manual",4,5
"BMW 3 Series",2900,104499,2007,5,"Petrol","Saloon","2.0L","Automatic",4,5
"Ford Focus",1390,127000,2008,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"MINI Hatch",10000,46923,2017,3,"Petrol","Hatchback","1.5L","Manual",3,4
"MINI Hatch Cooper",10995,33824,2018,1,"Petrol","Hatchback","1.5L","Manual",3,4
"SKODA Octavia",3495,152544,2014,3,"Petrol","Hatchback","1.2L","Manual",5,5
"Jaguar X-type",1599,92000,2003,6,"Petrol","Saloon","2.5L","Automatic",4,5
"Ford Focus",1499,113187,2008,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Ford Mondeo",3195,96000,2011,5,"Diesel","Hatchback","1.8L","Manual",5,5
"Nissan Qashqai",14990,45774,2020,NA,"Petrol","SUV","1.3L","Automatic",5,5
"Peugeot 407",1995,89000,2007,NA,"Petrol","Coupe","3.0L","Automatic",2,4
"Mercedes-Benz C Class",12295,63276,2014,NA,"Diesel","Saloon","2.1L","Automatic",4,5
"BMW 1 Series",9995,97000,2016,2,"Diesel","Hatchback","2.0L","Manual",5,5
"Ford Focus",1190,94519,2006,1,"Petrol","Hatchback","1.6L","Manual",3,5
"Ford KA",3200,47506,2011,3,"Petrol","Hatchback","1.2L","Manual",3,4
"SKODA Rapid Spaceback",6699,81000,2015,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Fiesta",6500,109876,2018,NA,"Petrol","Hatchback","1.1L","Manual",5,5
"BMW 3 Series",3990,97000,2011,4,"Diesel","Saloon","2.0L","Manual",4,5
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Hyundai I20",3750,59525,2011,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Hyundai I20 HATCHBACK",7499,54000,2016,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Fiesta",4795,47000,2010,1,"Petrol","Hatchback","1.4L","Manual",5,5
"Fiat Grande Punto",1600,69900,2007,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Vectra",2250,52200,2007,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"Ford Mondeo",8940,97000,2017,1,"Diesel","Hatchback","2.0L","Manual",5,5
"Renault Clio",1599,77182,2010,3,"Petrol","Hatchback","1.2L","Manual",5,5
"Chrysler Grand Voyager",2950,106000,2006,4,"Petrol","MPV","3.3L","Automatic",5,7
"Fiat 500",4299,60000,2012,2,"Petrol","Hatchback","1.2L","Manual",3,4
"Vauxhall Zafira Tourer",3850,66000,2012,4,"Diesel","MPV","2.0L","Manual",5,7
"Ford Focus",8975,86500,2017,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Mercedes-Benz C Class",18450,44000,2017,3,"Diesel","Coupe","2.1L","Automatic",2,4
"Vauxhall Adam",6199,65814,2014,1,"Petrol","Hatchback","1.4L","Manual",3,4
"Toyota Verso",5250,98700,2014,4,"Diesel","MPV","1.6L","Manual",5,7
"Suzuki Swift",1195,75677,2008,NA,"Petrol","Hatchback","1.3L","Manual",5,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Adam",2745,120000,2014,NA,"Petrol","Hatchback","1.4L","Manual",3,4
"MINI Hatch",10000,46923,2017,3,"Petrol","Hatchback","1.5L","Manual",3,4
"Infiniti Q50",7490,117000,2014,2,"Diesel","Saloon","2.2L","Automatic",4,5
"Toyota Yaris",2000,64000,2007,3,"Petrol","Hatchback","1.3L","Manual",5,5
"Citroen C3",10381,33896,2018,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",2995,103000,2013,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",2995,47988,2009,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Renault Clio",2895,70100,2012,2,"Diesel","Hatchback","1.5L","Manual",3,5
"Toyota Verso",8995,71504,2015,NA,"Diesel","MPV","1.6L","Manual",5,7
"Ford Focus",7475,96765,2017,1,"Diesel","Hatchback","1.5L","Manual",5,5
"Vauxhall Insignia",2495,122000,2012,2,"Diesel","Hatchback","2.0L","Manual",5,5
"Vauxhall Corsa",990,130000,2006,1,"Petrol","Hatchback","1.2L","Manual",3,5
"Renault Arkana",21495,16228,2023,1,"Petrol","SUV","1.3L","Automatic",5,5
"Mercedes-Benz E Class",9995,60758,2016,3,"Diesel","Coupe","2.1L","Automatic",2,4
"Vauxhall Mokka X",10999,44728,2018,2,"Petrol","SUV","1.4L","Manual",5,5
"Vauxhall Astra",4999,60139,2015,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Citroen DS3 Cabrio",5495,49000,2013,2,"Petrol","Convertible","1.6L","Manual",2,5
"Vauxhall Adam",4990,67000,2014,NA,"Petrol","Hatchback","1.4L","Manual",3,4
"BMW 3 Series",19800,69690,2019,1,"Petrol Plug-in Hybrid","Saloon","2.0L","Automatic",4,5
"Vauxhall Astra",4999,60139,2015,2,"Petrol","Hatchback","1.6L","Manual",5,5
"BMW Z4",4250,93500,2007,5,"Petrol","Convertible","2.0L","Manual",2,2
"Toyota Aygo",3895,53700,2013,2,"Petrol","Hatchback","1.0L","Manual",5,4
"Toyota Yaris",1895,77000,2002,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Peugeot 207",3652,72549,2014,1,"Petrol","Convertible","1.6L","Manual",2,4
"Peugeot 308",1995,76954,2009,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Volkswagen Passat",4200,90000,2011,3,"Diesel","Saloon","2.0L","Automatic",4,5
"Toyota Yaris",2999,27682,2007,3,"Petrol","Hatchback","1.3L","Manual",5,5
"Peugeot 308",1890,99000,2010,5,"Petrol","Hatchback","1.4L","Manual",5,5
"BMW 2 Series",17599,26607,2019,NA,"Petrol","Coupe","1.5L","Automatic",2,4
"Toyota RAV4",2695,104069,2007,3,"Diesel","SUV","2.2L","Manual",5,5
"Hyundai i30",1750,130000,2010,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Fiat 500C",3995,87986,2010,NA,"Petrol","Convertible","1.2L","Manual",2,4
"Peugeot 207 SW",895,114312,2008,9,"Petrol","Estate","1.4L","Manual",5,5
"Peugeot 2008",6790,37000,2014,NA,"Petrol","SUV","1.2L","Manual",5,5
"Lexus GS 450h",2500,160000,2006,NA,"Petrol Hybrid","Saloon","3.5L","Automatic",4,5
"Volkswagen Polo",15970,11500,2021,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Jeep Patriot",1000,112654,2008,4,"Diesel","SUV","2.0L","Manual",5,5
"Vauxhall Corsa",8500,27500,2016,2,"Petrol","Hatchback","1.0L","Manual",3,5
"Vauxhall Corsa",2490,86000,2011,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"BMW 3 Series Gran Turismo",5800,150000,2014,4,"Diesel","Hatchback","2.0L","Manual",5,5
"BMW 3 SERIES",12800,57000,2016,2,"Diesel","Saloon","2.0L","Manual",4,5
"Volkswagen Polo",15970,11500,2021,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Mercedes-Benz A Class",13495,58383,2016,NA,"Diesel","Hatchback","2.1L","Automatic",5,5
"MINI Hatch",10000,46923,2017,3,"Petrol","Hatchback","1.5L","Manual",3,4
"Nissan X-trail",5995,108000,2015,1,"Diesel","SUV","1.6L","Manual",5,5
"Vauxhall Corsa",9820,31584,2018,2,"Petrol","Hatchback","1.4L","Automatic",5,5
"MINI Hatch",9495,61385,2018,1,"Petrol","Hatchback","1.5L","Manual",3,4
"SKODA Citigo",4999,56355,2014,3,"Petrol","Hatchback","1.0L","Manual",5,4
"Peugeot 2008",9495,60496,2017,1,"Diesel","SUV","1.6L","Manual",5,5
"Renault Grand Scenic",4000,73000,2011,2,"Diesel","MPV","1.5L","Automatic",5,7
"Ford Fiesta",9990,61981,2018,2,"Petrol","Hatchback","1.0L","Manual",5,5
"Mazda MAZDA 2",1995,95843,2011,6,"Petrol","Hatchback","1.3L","Manual",5,5
"Ford Fiesta",8499,41387,2016,2,"Petrol","Hatchback","1.3L","Manual",5,5
"Nissan Qashqai",14990,45774,2020,NA,"Petrol","SUV","1.3L","Automatic",5,5
"Vauxhall Corsa",3000,70000,2011,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Hyundai i20",10995,12592,2018,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Mazda Mazda3",4495,100000,2013,2,"Petrol","Hatchback","1.6L","Automatic",5,5
"Audi Q3",11490,100000,2015,NA,"Diesel","SUV","2.0L","Automatic",5,5
"Renault Megane",3995,72000,2013,3,"Petrol","Hatchback","1.6L","Manual",5,5
"Mercedes-Benz S Class",3795,152000,2008,3,"Diesel","Saloon","3.0L","Automatic",4,5
"Toyota Aygo",2495,74765,2009,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"MG MG ZS",18515,1,2023,NA,"Petrol","SUV","1.5L","Manual",5,5
"Volvo V50",2299,153092,2009,2,"Diesel","Estate","2.4L","Automatic",5,5
"Vauxhall Corsa",3999,42000,2013,3,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW 3 SERIES",2898,98979,2003,NA,"Petrol","Coupe","2.5L","Automatic",2,5
"Ford Fiesta",2995,89999,2011,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"MINI Hatch",4995,106289,2011,1,"Petrol","Hatchback","1.6L","Manual",3,4
"Land Rover Range Rover Sport",4995,95000,2007,6,"Diesel","SUV","2.7L","Automatic",5,5
"Mercedes-Benz E Class",6300,139000,2009,4,"Petrol","Coupe","3.5L","Automatic",2,4
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Mercedes-Benz A Class",12995,38000,2013,1,"Petrol","Hatchback","1.6L","Automatic",5,5
"Volkswagen Golf",3889,74100,2010,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Audi A3",1600,132018,2008,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"SKODA Fabia",6900,70189,2016,3,"Diesel","Hatchback","1.4L","Manual",5,5
"SEAT Ibiza",1495,120741,2008,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"BMW 1 Series",4495,114000,2013,3,"Diesel","Hatchback","1.6L","Manual",5,5
"BMW X1",7179,85220,2012,NA,"Diesel","SUV","2.0L","Automatic",5,5
"Mazda Mazda3",999,129000,2005,NA,"Petrol","Hatchback","2.0L","Manual",5,5
"Audi A3",1350,126085,2003,6,"Petrol","Hatchback","1.6L","Automatic",5,5
"Vauxhall Astra",4999,60139,2015,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Audi A3 Cabriolet",8990,67000,2014,NA,"Petrol","Convertible","1.4L","Manual",2,4
"Suzuki Alto",2495,64269,2012,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"Ford Fiesta",2495,47530,2008,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"Renault Megane",4400,36063,2012,2,"Petrol","Hatchback","1.6L","Manual",5,5
"MINI Hatch",1425,116000,2003,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"Nissan Note",2500,73950,2008,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Vauxhall Astra",1299,96000,2006,5,"Petrol","Hatchback","1.4L","Manual",3,5
"Nissan Qashqai",7250,66000,2013,NA,"Diesel","SUV","1.5L","Manual",5,5
"Ford Ecosport",3850,98000,2014,3,"Diesel","SUV","1.5L","Manual",5,5
"Citroen Grand C4 Picasso",2495,114000,2007,NA,"Petrol","MPV","2.0L","Automatic",5,7
"Toyota Yaris",2995,81224,2006,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Vauxhall Crossland X",13499,19632,2020,1,"Petrol","SUV","1.2L","Manual",5,5
"Jaguar XE",16950,23982,2016,2,"Diesel","Saloon","2.0L","Automatic",4,5
"Hyundai Getz",925,136000,2006,NA,"Diesel","Hatchback","1.5L","Manual",3,5
"Audi A3",7495,45000,2013,2,"Petrol","Hatchback","1.4L","Manual",5,5
"Mercedes-Benz SLK",1899,94000,2001,NA,"Petrol","Convertible","1.8L","Automatic",2,2
"Rover Mini",1650,49309,1990,4,"Petrol","Saloon","1.0L","Automatic",2,NA
"Ford Kuga Estate",14781,52355,2019,1,"Petrol","SUV","1.5L","Manual",5,5
"Fiat 500",3695,73997,2014,5,"Petrol","Hatchback","1.2L","Manual",3,4
"SKODA Fabia",6900,70189,2016,3,"Diesel","Hatchback","1.4L","Manual",5,5
"Suzuki SX4 S-Cross",2500,87000,2014,3,"Petrol","SUV","1.6L","Manual",5,5
"Vauxhall Insignia",2495,121723,2012,NA,"Diesel","Estate","2.0L","Manual",5,5
"Hyundai i30",4040,120635,2013,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Citroen C1",2400,74000,2008,2,"Petrol","Hatchback","1.0L","Manual",3,4
"Vauxhall Corsa",2050,88000,2009,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Fiesta",2500,113750,2010,6,"Diesel","Hatchback","1.6L","Manual",3,5
"Peugeot 108",5950,49430,2014,3,"Petrol","Hatchback","1.2L","Manual",5,4
"Peugeot 3008",7995,63845,2015,NA,"Diesel","SUV","1.6L","Manual",5,5
"Ford Fiesta",9990,61981,2018,2,"Petrol","Hatchback","1.0L","Manual",5,5
"Ford Focus",6495,98593,2016,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Hyundai I20",9495,12214,2016,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Hyundai Getz",990,121000,2003,4,"Petrol","Hatchback","1.3L","Manual",5,5
"Suzuki Alto",3995,45000,2014,2,"Petrol","Hatchback","1.0L","Manual",5,4
"Renault Megane",2495,106500,2015,3,"Diesel","Hatchback","1.5L","Manual",5,5
"Volkswagen Golf",1895,136331,2005,4,"Petrol","Hatchback","1.6L","Manual",5,5
"Volkswagen Polo",2495,149000,2010,1,"Diesel","Hatchback","1.2L","Manual",5,5
"SEAT Leon",6995,91000,2014,NA,"Diesel","Hatchback","2.0L","Manual",3,5
"Volvo V40",4250,118000,2013,4,"Diesel","Hatchback","1.6L","Manual",5,5
"Peugeot 207",1299,87000,2008,5,"Diesel","Hatchback","1.6L","Manual",5,5
"Saab 9-3",2950,87424,2008,3,"Petrol","Saloon","1.8L","Automatic",4,5
"Nissan X-trail",4995,129000,2011,NA,"Diesel","SUV","2.0L","Manual",5,5
"Peugeot 308",2795,100000,2011,5,"Petrol","Hatchback","1.6L","Manual",5,5
"Audi A4",7990,80000,2012,NA,"Petrol","Saloon","1.8L","Manual",4,5
"Vauxhall Insignia",6145,67990,2014,NA,"Diesel","Hatchback","2.0L","Manual",5,5
"Ford Fiesta",2490,42800,2007,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Vauxhall Astra",4190,76000,2013,2,"Diesel","Hatchback","2.0L","Manual",5,5
"Citroen C4 Cactus",6399,92000,2016,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Peugeot 307",2490,38563,2007,2,"Petrol","Hatchback","1.4L","Manual",5,5
"Nissan Qashqai",4950,88000,2013,3,"Petrol","SUV","1.6L","Manual",5,5
"Mercedes-Benz B Class",2650,85000,2008,NA,"Petrol","MPV","1.5L","Manual",5,5
"Mitsubishi Shogun Sport",3595,105000,2007,NA,"Diesel","SUV","2.5L","Manual",5,5
"Vauxhall Vectra",2250,52200,2007,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"Land Rover Freelander 2",3849,112340,2009,NA,"Diesel","SUV","2.2L","Automatic",5,5
"Nissan Juke",11000,45462,2019,1,"Petrol","SUV","1.6L","Manual",5,5
"Ford Focus",2950,105000,2011,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Vauxhall Astra",495,97000,2011,7,"Diesel","Hatchback","1.7L","Manual",5,5
"SKODA Fabia",2390,64000,2008,4,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Fiesta Hatchback",8990,43575,2017,1,"Petrol","Hatchback","1.1L","Manual",5,5
"Toyota Yaris",1850,73424,2004,2,"Petrol","Hatchback","1.0L","Manual",5,5
"Ford Focus",4449,89653,2012,3,"Petrol","Hatchback","1.0L","Manual",5,5
"MINI Hatch",2700,96166,2007,5,"Petrol","Hatchback","1.6L","Manual",3,4
"Mitsubishi Lancer",4500,76988,2011,2,"Petrol","Hatchback","1.8L","Manual",5,5
"Vauxhall Corsa",10999,13109,2020,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Volkswagen Polo",15970,11500,2021,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Mercedes-Benz B Class",2275,125200,2006,5,"Petrol","MPV","1.7L","Automatic",5,5
"Audi A3",7495,100409,2013,3,"Diesel","Hatchback","2.0L","Manual",3,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW 1 Series",7250,90395,2015,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Mercedes-Benz A Class",15900,62402,2019,1,"Petrol","Hatchback","1.3L","Automatic",5,5
"Toyota Yaris",2495,121600,2008,4,"Petrol","Hatchback","1.3L","Manual",5,5
"Honda Civic",2499,83000,2005,5,"Petrol","Hatchback","1.6L","Automatic",5,5
"Citroen C4 Cactus",9990,36000,2018,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Peugeot 1007",2490,36600,2007,NA,"Petrol","Hatchback","1.6L","Automatic",3,4
"Peugeot 3008",1390,107000,2010,6,"Diesel","SUV","1.6L","Manual",5,5
"Subaru Impreza",2395,130100,2001,5,"Petrol","Saloon","2.0L","Manual",4,5
"BMW 3 SERIES",18695,93289,2019,2,"Diesel","Saloon","2.0L","Automatic",4,5
"Peugeot 407",995,144100,2007,4,"Diesel","Saloon","2.0L","Manual",4,5
"Volkswagen Beetle",10995,77250,2013,2,"Petrol","Convertible","1.4L","Manual",2,4
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Fiat Grande Punto",1499,49970,2009,2,"Diesel","Hatchback","1.3L","Manual",3,5
"Ford Mondeo",3995,83000,2011,NA,"Petrol","Hatchback","2.0L","Manual",5,5
"SKODA Fabia",6900,70189,2016,3,"Diesel","Hatchback","1.4L","Manual",5,5
"Vauxhall Corsa",2989,70020,2014,NA,"Diesel","Hatchback","1.3L","Manual",5,5
"Honda Fr-v",2195,138000,2009,NA,"Petrol","MPV","1.8L","Manual",5,6
"Honda Jazz",3470,57000,2009,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"SKODA Octavia",2490,56000,2003,NA,"Petrol","Hatchback","1.8L","Automatic",5,5
"Mazda MX-30",13899,13865,2021,NA,"Electric","SUV","","Automatic",5,5
"Hyundai i20",1850,105472,2009,4,"Petrol","Hatchback","1.2L","Manual",3,5
"Toyota Aygo",10700,16420,2019,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"Vauxhall Corsa",8495,24329,2016,1,"Petrol","Hatchback","1.4L","Manual",3,5
"Audi A3",3690,142136,2011,3,"Diesel","Hatchback","2.0L","Manual",5,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Hyundai i10",2750,79315,2011,4,"Petrol","Hatchback","1.2L","Manual",5,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"Toyota Yaris",13000,51179,2019,1,"Petrol Hybrid","Hatchback","1.5L","Automatic",5,5
"Vauxhall Astra",6495,63495,2016,4,"Petrol","Hatchback","1.0L","Manual",5,5
"Fiat Doblo",1495,85000,2004,NA,"Diesel","Estate","1.3L","Manual",5,5
"Audi A4",5444,120000,2011,NA,"Diesel","Saloon","2.0L","Manual",4,5
"Ford Focus",8975,86500,2017,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Vauxhall Insignia Grand Sport",11995,57952,2019,1,"Diesel","Hatchback","2.0L","Manual",5,5
"Volkswagen CC",6795,92000,2012,NA,"Diesel","Saloon","2.0L","Manual",4,5
"BMW 3 Series",5495,88291,2008,3,"Petrol","Coupe","2.0L","Automatic",2,4
"Mercedes-Benz E Class",1950,143000,2003,NA,"Diesel","Saloon","2.7L","Automatic",4,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Ford Focus",2275,100969,2009,5,"Diesel","Hatchback","2.0L","Manual",5,5
"Vauxhall Viva Hatchback",5495,68084,2015,2,"Petrol","Hatchback","1.0L","Manual",5,5
"MINI Hatch Cooper",15495,37199,2019,2,"Petrol","Hatchback","1.5L","Manual",3,4
"Renault Clio",500,138061,2007,5,"Petrol","Hatchback","1.4L","Manual",3,5
"Renault Koleos",16995,38252,2018,2,"Diesel","SUV","2.0L","Automatic",5,5
"Vauxhall Corsa",1749,60000,2006,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Grand Scenic",4000,73000,2011,2,"Diesel","MPV","1.5L","Automatic",5,7
"SKODA Fabia",6900,70189,2016,3,"Diesel","Hatchback","1.4L","Manual",5,5
"Ford Mondeo",1195,101000,2010,3,"Diesel","Hatchback","1.8L","Manual",5,5
"SKODA Fabia",3750,115000,2012,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Fiat 500C",3995,87986,2010,NA,"Petrol","Convertible","1.2L","Manual",2,4
"Hyundai i30",3775,66556,2011,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"SEAT Ibiza",3350,65000,2013,4,"Petrol","Hatchback","1.4L","Manual",3,3
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW 1 SERIES",16099,47964,2017,1,"Petrol","Hatchback","1.5L","Automatic",5,5
"BMW 3 Series",2700,105713,2005,6,"Petrol","Convertible","2.0L","Manual",2,4
"Mercedes-Benz E Class",5395,126000,2011,2,"Diesel","Saloon","3.0L","Automatic",4,5
"Nissan Qashqai",15877,24000,2019,1,"Petrol","SUV","1.3L","Manual",5,5
"SEAT Ibiza",1995,137580,2010,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Mercedes-Benz A Class",15900,62402,2019,1,"Petrol","Hatchback","1.3L","Automatic",5,5
"Honda Civic",1795,69000,2004,3,"Diesel","Hatchback","1.7L","Manual",3,5
"BMW 5 Series",2950,139000,2004,NA,"Petrol","Saloon","3.0L","Automatic",4,5
"Dacia Sandero",9999,7083,2021,2,"Petrol","Hatchback","1.0L","Manual",5,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"BMW 3 Series",22600,24098,2018,2,"Diesel","Saloon","3.0L","Automatic",4,5
"Mercedes-Benz C Class",16880,64806,2016,NA,"Diesel","Coupe","2.1L","Automatic",2,4
"Ford Mondeo",1100,138676,2003,NA,"Diesel","Hatchback","2.0L","Manual",5,5
"SEAT Leon",3995,53000,2010,NA,"Diesel","Hatchback","1.9L","Manual",5,5
"Nissan Juke",11000,45462,2019,1,"Petrol","SUV","1.6L","Manual",5,5
"Mercedes-Benz C Class",2495,135000,2007,NA,"Diesel","Estate","2.1L","Automatic",5,5
"Vauxhall Astra",1995,82000,2007,2,"Petrol","Convertible","1.6L","Manual",2,4
"Volkswagen Polo",6995,57978,2013,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW 4 SERIES",15495,71127,2016,NA,"Diesel","Hatchback","2.0L","Automatic",5,5
"Hyundai i20",2950,66300,2010,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Suzuki Swift",5190,60513,2013,NA,"Petrol","Hatchback","1.2L","Manual",3,4
"Volvo S40",2495,123000,2009,2,"Diesel","Saloon","1.6L","Manual",4,5
"Renault Clio",11999,12153,2020,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Volkswagen Golf",3495,82000,2007,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",2495,160741,2013,NA,"Diesel","Hatchback","1.5L","Manual",3,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"Toyota Corolla",2145,57000,2004,5,"Petrol","Hatchback","1.6L","Manual",3,5
"MINI Hatch Cooper",10495,39998,2015,NA,"Petrol","Hatchback","1.5L","Manual",3,4
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Fiat 500",4899,32833,2012,1,"Petrol","Hatchback","1.2L","Manual",3,4
"Vauxhall Corsa",4195,79000,2011,5,"Petrol","Hatchback","1.4L","Automatic",5,5
"BMW 3 Series",5990,50000,2011,NA,"Diesel","Saloon","2.0L","Automatic",4,5
"Volkswagen Polo",5950,77000,2013,5,"Petrol","Hatchback","1.4L","Manual",5,5
"Vauxhall Vectra",2250,52200,2007,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"Peugeot 308 SW",9600,56984,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Nissan Almera",1395,114987,2004,NA,"Petrol","Hatchback","1.8L","Automatic",5,5
"Ford Focus",798,140599,2008,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Vauxhall Astra",1990,35000,2004,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"SKODA Fabia",2795,89747,2007,NA,"Diesel","Hatchback","1.4L","Manual",5,5
"Peugeot 308 SW",9600,56984,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Vauxhall Astra",3375,86327,2011,3,"Diesel","Hatchback","2.0L","Manual",5,5
"Volkswagen Passat",13199,62000,2018,1,"Diesel","Saloon","2.0L","Automatic",4,5
"Ford Fiesta",4480,34000,2010,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Mazda CX-5",4900,127900,2014,3,"Diesel","SUV","2.2L","Automatic",5,5
"Audi A3",12695,57199,2015,NA,"Diesel","Saloon","2.0L","Manual",4,5
"Mercedes-Benz C Class",2995,155000,2009,2,"Diesel","Saloon","2.1L","Automatic",4,5
"Vauxhall Astra",3990,91000,2014,2,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Grand Scenic",4000,73000,2011,2,"Diesel","MPV","1.5L","Automatic",5,7
"Vauxhall Astra",1495,108257,2007,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Renault Clio",13499,28688,2022,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Ford Focus Diesel Hatchback",12250,45798,2019,4,"Diesel","Hatchback","1.5L","Manual",5,5
"Ford Focus",3195,89110,2008,NA,"Petrol","Hatchback","1.6L","Automatic",5,5
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"DS Automobiles DS 3",6950,53000,2018,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Ford Focus",4300,81426,2014,6,"Petrol","Hatchback","1.6L","Automatic",5,5
"Ford Fiesta",2995,89999,2011,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"Toyota Aygo",1795,110000,2006,4,"Petrol","Hatchback","1.0L","Manual",5,4
"Volkswagen Golf Plus",3799,81000,2010,2,"Petrol","Hatchback","1.4L","Manual",5,5
"Volkswagen Jetta",7350,39488,2013,2,"Diesel","Saloon","1.6L","Manual",4,5
